"","authors","citation","citationHtml","contacts","createdAt","description","fileCount","global_id","identifier_of_dataverse","keywords","majorVersion","minorVersion","name","name_of_dataverse","published_at","publisher","storageIdentifier","subjects","type","updatedAt","url","versionId","versionState"
"1","c(""Carey, John M."", ""Niemi, Richard G."", ""Powell, Lynda W."", ""Moncrief, Gary"")","Carey, John M.; Niemi, Richard G.; Powell, Lynda W.; Moncrief, Gary, 2008, ""2002 State Legislative Survey"", https://doi.org/10.3886/ICPSR20960.v1, Inter-university Consortium for Political and Social Research","Carey, John M.; Niemi, Richard G.; Powell, Lynda W.; Moncrief, Gary, 2008, ""2002 State Legislative Survey"", <a href=""https://doi.org/10.3886/ICPSR20960.v1"" target=""_blank"">https://doi.org/10.3886/ICPSR20960.v1</a>, Inter-university Consortium for Political and Social Research","list(name = """", affiliation = """")","2015-04-09T03:36:39Z","This survey of state legislators updates and expands the 1995 Carey, Niemi, and Powell survey, STATE LEGISLATIVE SURVEY AND CONTEXTUAL DATA, 1995: [UNITED STATES] (ICPSR 3021), which asked many of the same questions. Questionnaires were mailed to all 7,430 state legislators (50 states, 99 chambers) in February 2002, with follow-up letters in March and May of the same year. State legislators were surveyed on the importance of various factors in learning how to do their job, the importance of vari ous sources of information available to them, whether they had authored any bills that became law during their most recent term, whether they specialized in single policy areas, and how much time they spent on legislative duties and tasks. Opinions were sought on the relative influence of party leaders and staff, among others, in determining legislative outcomes, and how much attention party leaders should give to various duties. Additional questions asked whether respondents followed their conscience or the wishes of their constituency when making decisions, the political views of their constituency, and which groups they considered to be their strongest supporters. Information was also collected on opposition candidates, vote percentages, campaign expenditures, previously held public and appointed offices, and future political aspirations. Demographic information includes sex, race, household income, religious preference, political party affiliation, and political philosophy.","1","doi:10.3886/ICPSR20960.v1","icpsr","c(""campaign issues"", ""elections"", ""elective offices"", ""legislative process"", ""political campaigns"", ""political influence"", ""state legislators"", ""state legislatures"", ""state politics"", ""states (USA)"")","NA","NA","2002 State Legislative Survey","ICPSR Harvested Dataverse","2015-04-09T03:36:39Z","ICPSR Harvested Dataverse","file://10.3886/ICPSR20960.v1","","dataset","2015-04-09T03:36:39Z","https://doi.org/10.3886/ICPSR20960.v1","36645","RELEASED"
"2","Jocelyn Goldberg, The Rochester Research Group","Jocelyn Goldberg, The Rochester Research Group, 2021, ""2010 Study of the Rochester Jewish Community"", Roper Center","Jocelyn Goldberg, The Rochester Research Group, 2021, ""2010 Study of the Rochester Jewish Community"", Roper Center","list(name = """", affiliation = """")","2017-02-01T17:02:03Z","Population Estimates: Count Me In, the 2010 Rochester (NY) Study is not an RDD-based Jewish population study, but a viral Internet Study of the Rochester (NY) Jewish community. Report estimates 19,850 Jews live in 9,740 Jewish households in Monroe County.","0","hdl:1902.4/USNAJDB2010-RCH","roper","NULL","NA","NA","2010 Study of the Rochester Jewish Community","Roper Harvested Dataverse","2017-02-01T17:02:03Z","Roper Harvested Dataverse","file://1902.4/USNAJDB2010-RCH","Social Sciences","dataset","2017-02-01T17:02:03Z","https://hdl.handle.net/1902.4/USNAJDB2010-RCH","100386","RELEASED"
"3","Dr. Gary A. Tobin and Dr. Sylvia Barack Fishman, Cohen Center for Modern Jewish Studies, Brandeis University","Dr. Gary A. Tobin and Dr. Sylvia Barack Fishman, Cohen Center for Modern Jewish Studies, Brandeis University, 2021, ""A Population Study of the Jewish Community of Rochester, 1986"", Roper Center","Dr. Gary A. Tobin and Dr. Sylvia Barack Fishman, Cohen Center for Modern Jewish Studies, Brandeis University, 2021, ""A Population Study of the Jewish Community of Rochester, 1986"", Roper Center","list(name = """", affiliation = """")","2017-02-01T16:45:16Z","Population Estimates: It is estimated in the published report that there are about 25,800 people living in these households, excluding non-Jews who are unrelated to anyone in the household.","0","hdl:1902.4/USNAJDB1986-RCH","roper","NULL","NA","NA","A Population Study of the Jewish Community of Rochester, 1986","Roper Harvested Dataverse","2017-02-01T16:45:16Z","Roper Harvested Dataverse","file://1902.4/USNAJDB1986-RCH","Social Sciences","dataset","2017-02-01T16:45:16Z","https://hdl.handle.net/1902.4/USNAJDB1986-RCH","98287","RELEASED"
"4","c(""Mark W. Frampton"", ""John R. Balmes"", ""Philip A. Bromberg"", ""Mehrdad Arjomandi"", ""Milan J. Hazucha"", ""David Q. Rich"")","Mark W. Frampton; John R. Balmes; Philip A. Bromberg; Mehrdad Arjomandi; Milan J. Hazucha; David Q. Rich, 2018, ""A. MOSES Study Programming Guide"", https://doi.org/10.7910/DVN/UGPMRI, Harvard Dataverse, V2","Mark W. Frampton; John R. Balmes; Philip A. Bromberg; Mehrdad Arjomandi; Milan J. Hazucha; David Q. Rich, 2018, ""A. MOSES Study Programming Guide"", <a href=""https://doi.org/10.7910/DVN/UGPMRI"" target=""_blank"">https://doi.org/10.7910/DVN/UGPMRI</a>, Harvard Dataverse, V2","list(name = ""Health Effects Institute"", affiliation = """")","2018-04-30T13:42:46Z","The MOSES Study basic programming guide introduces the datasets available on the portal, provides instructions for importing the datasets into statistical analysis systems, and illustrates basic programming steps that a user may undertake for analysis.","1","doi:10.7910/DVN/UGPMRI","MOSES","c(""Pulmonary"", ""Respiratory"", ""Cardiac"", ""MOSES"", ""Ozone"", ""Health"")","2","0","A. MOSES Study Programming Guide","Multicenter Ozone Study in oldEr Subjects (MOSES)","2020-03-30T19:44:29Z","Multicenter Ozone Study in oldEr Subjects (MOSES)","s3://10.7910/DVN/UGPMRI","Medicine, Health and Life Sciences","dataset","2020-03-30T19:46:02Z","https://doi.org/10.7910/DVN/UGPMRI","192107","RELEASED"
"5","The ALS Association","The ALS Association, 2021, ""ALS Focus Wave 2 - What Matters Most Survey"", https://doi.org/10.7910/DVN/JZ5DZQ, Harvard Dataverse, V1, UNF:6:7F0Tb6g8rb/GGvpKMMRQxQ== [fileUNF]","The ALS Association, 2021, ""ALS Focus Wave 2 - What Matters Most Survey"", <a href=""https://doi.org/10.7910/DVN/JZ5DZQ"" target=""_blank"">https://doi.org/10.7910/DVN/JZ5DZQ</a>, Harvard Dataverse, V1, UNF:6:7F0Tb6g8rb/GGvpKMMRQxQ== [fileUNF]","list(name = ""Sherman, Alexander"", affiliation = ""Harvard University"")","2021-09-30T01:50:37Z","This Dataverse record contains the following files: ALSFocusWave2_DataDictionary.xlsx – This is the data dictionary for all surveys fielded in ALS Focus Wave 2. This file has been updated to include a new layout, revised variable names to improve consistency, and greater detail on survey questions and programming logic (e.g., skip patterns). ALSFocusWave2_Demographics.csv – This data file contains demographic and disease history responses to the About Me survey which opened in Wave 1. ALSFocusWave2_WMM.csv – This data file contains total scores generated from responses to the ALS Health Index Short Form (ALS-HI-SF) in the What Matters Most survey. After Wave 2 closed, the total ALS-HI-SF scores were calculated by staff at the University of Rochester where the ALS-HI-SF was developed by Dr. Chad Heatwole, MD, MS-CI. The Wave 2 data dictionary contains more information on the ALS-HI-SF and the total scores. ALSFocusWave2_ALSFRSandVC.csv – This data file contains responses to questions on ALSFRS-R and Vital Capacity scores, which opened in Wave 1. Starting in Wave 2, participants with ALS may answer these questions on a repeated basis, but not more than once per calendar day. ALSFocusWave2_HealthStatus.csv – This data file contains responses to the Health Status survey, which opened in Wave 2. Participants with ALS may answer these questions on a repeated basis, but not more than once per calendar day.","6","doi:10.7910/DVN/JZ5DZQ","NeuroVERSE","NULL","1","0","ALS Focus Wave 2 - What Matters Most Survey","NeuroVERSE","2021-11-02T21:30:27Z","NeuroVERSE","s3://10.7910/DVN/JZ5DZQ","Medicine, Health and Life Sciences","dataset","2021-11-02T21:30:27Z","https://doi.org/10.7910/DVN/JZ5DZQ","273940","RELEASED"
"6","United States Department of Commerce. Bureau of the Census","United States Department of Commerce. Bureau of the Census, 1993, ""American Housing Survey, 1986: MSA Core and Supplement File"", https://doi.org/10.3886/ICPSR06129.v1, Inter-university Consortium for Political and Social Research","United States Department of Commerce. Bureau of the Census, 1993, ""American Housing Survey, 1986: MSA Core and Supplement File"", <a href=""https://doi.org/10.3886/ICPSR06129.v1"" target=""_blank"">https://doi.org/10.3886/ICPSR06129.v1</a>, Inter-university Consortium for Political and Social Research","list(name = """", affiliation = """")","2015-04-09T03:48:08Z","This data collection provides information on characteristics of housing units in 11 selected Metropolitan Statistical Areas (MSAs) of the United States. Although the unit of analysis is the housing unit rather than its occupants, the survey also is a comprehensive source of information on the demographic characteristics of household residents. Data collected include general housing characteristics, such as the year the structure was built, type and number of living quarters, occupancy status, presence of commercial establishments on the property, and property value. Data are also provided on kitchen and plumbing facilities, type of heating fuel used, source of water, sewage disposal, and heating and air-conditioning equipment. Questions about housing quality include condition of walls and floors, adequacy of heat in winter, availability of electrical outlets in rooms, basement and roof water leakage, and exterminator service for mice and rats. Data related to housing expenses include mortgage or rent payments, utility costs, fuel costs, property insurance costs, real estate taxes, and garbage collection fees. Variables are also supplied on neighborhood conditions, such as quality of roads and presence of crime, trash, litter, street noise, abandoned structures, commercial activity, and odors or smoke. Other items cover the adequacy of neighborhood services, including public transportation, schools, shopping facilities, police protection, recreation facilities, and hospitals or clinics. In addition to housing characteristics, data on age, sex, race, marital status, income, and relationship to householder are provided for each household member. Additional data are supplied for the householder, including years of school completed, Spanish origin, and length of residence.","11","doi:10.3886/ICPSR06129.v1","icpsr","c(""commuting (travel)"", ""energy assistance"", ""energy conservation"", ""energy consumption"", ""home ownership"", ""housing"", ""housing conditions"", ""housing costs"", ""housing occupancy"", ""housing units"", ""income"", ""metropolitan statistical areas"", ""municipal services"", ""neighborhood conditions"", ""property insurance"", ""property taxes"", ""property values"", ""relocation"", ""rental housing"", ""transportation"", ""utility rates"")","NA","NA","American Housing Survey, 1986: MSA Core and Supplement File","ICPSR Harvested Dataverse","2015-04-09T03:48:08Z","ICPSR Harvested Dataverse","file://10.3886/ICPSR06129.v1","","dataset","2015-04-09T03:48:08Z","https://doi.org/10.3886/ICPSR06129.v1","37681","RELEASED"
"7","United States Department of Commerce. Bureau of the Census","United States Department of Commerce. Bureau of the Census, 1990, ""American Housing Survey, 1986: MSA File"", https://doi.org/10.3886/ICPSR09334.v1, Inter-university Consortium for Political and Social Research","United States Department of Commerce. Bureau of the Census, 1990, ""American Housing Survey, 1986: MSA File"", <a href=""https://doi.org/10.3886/ICPSR09334.v1"" target=""_blank"">https://doi.org/10.3886/ICPSR09334.v1</a>, Inter-university Consortium for Political and Social Research","list(name = """", affiliation = """")","2015-04-09T04:33:32Z","This data collection provides information on characteristics of housing units in 11 selected Metropolitan Statistical Areas (MSAs). Although the unit of analysis is the housing unit rather than its occupants, the survey also is a comprehensive source of information on the demographic characteristics of household residents. Data collected include general housing characteristics such as the year the structure was built, type and number of living quarters, occupancy status, presence of commercial establishments on the property, and property value. Data are also provided on kitchen and plumbing facilities, type of heating fuel used, source of water, sewage disposal, and heating and air- conditioning equipment. Questions about housing quality include condition of walls and floors, adequacy of heat in winter, availability of electrical outlets in rooms, basement and roof water leakage, and exterminator service for mice and rats. Data related to housing expenses include mortgage or rent payments, utility costs, fuel costs, property insurance costs, real estate taxes, and garbage collection fees. Questions are also asked about neighborhood conditions such as quality of roads, presence of crime, trash, litter, street noise, abandoned structures, commercial activity, and odors or smoke, as well as about the adequacy of such services as public transportation, schools, shopping facilities, police protection, recreation facilities, and hospitals or clinics. In addition to housing characteristics, data on age, sex, race, marital status, income, and relationship to householder are provided for each household member. Additional data are supplied for the householder, including years of school completed, Spanish origin, and length of residence.","11","doi:10.3886/ICPSR09334.v1","icpsr","c(""commuting (travel)"", ""energy assistance"", ""energy conservation"", ""energy consumption"", ""home ownership"", ""housing"", ""housing conditions"", ""housing costs"", ""housing occupancy"", ""housing units"", ""income"", ""Metropolitan Statistical Areas"", ""municipal services"", ""neighborhood conditions"", ""property insurance"", ""property taxes"", ""property values"", ""relocation"", ""rental housing"", ""utility rates"")","NA","NA","American Housing Survey, 1986: MSA File","ICPSR Harvested Dataverse","2015-04-09T04:33:32Z","ICPSR Harvested Dataverse","file://10.3886/ICPSR09334.v1","","dataset","2015-04-09T04:33:32Z","https://doi.org/10.3886/ICPSR09334.v1","41820","RELEASED"
"8","United States Department of Commerce. Bureau of the Census","United States Department of Commerce. Bureau of the Census, 1995, ""American Housing Survey, 1990: MSA Core and Supplement File"", https://doi.org/10.3886/ICPSR06462.v1, Inter-university Consortium for Political and Social Research","United States Department of Commerce. Bureau of the Census, 1995, ""American Housing Survey, 1990: MSA Core and Supplement File"", <a href=""https://doi.org/10.3886/ICPSR06462.v1"" target=""_blank"">https://doi.org/10.3886/ICPSR06462.v1</a>, Inter-university Consortium for Political and Social Research","list(name = """", affiliation = """")","2015-04-09T03:53:46Z","This data collection provides information on characteristics of housing units in 11 selected Metropolitan Statistical Areas (MSAs) of the United States. Although the unit of analysis is the housing unit rather than its occupants, the survey also is a comprehensive source of information on the demographic characteristics of household residents. Data collected include general housing characteristics such as the year the structure was built, type and number of living quarters, occupancy status, presence of commercial establishments on the property, and property value. Data are also provided on kitchen and plumbing facilities, type of heating fuel used, source of water, sewage disposal, and heating and air-conditioning equipment. Questions about housing quality include condition of walls and floors, adequacy of heat in winter, availability of electrical outlets in rooms, basement and roof water leakage, and exterminator service for mice and rats. Data related to housing expenses include mortgage or rent payments, utility costs, fuel costs, property insurance costs, real estate taxes, and garbage collection fees. Variables are also supplied on neighborhood conditions such as quality of roads and presence of crime, trash, litter, street noise, abandoned structures, commercial activity, and odors or smoke, as well as the adequacy of services such as public transportation, schools, shopping facilities, police protection, recreation facilities, and hospitals or clinics. In addition to housing characteristics, data on age, sex, race, marital status, income, and relationship to householder are provided for each household member. Additional data are supplied for the householder, including years of school completed, Spanish origin, and length of residence.","11","doi:10.3886/ICPSR06462.v1","icpsr","c(""commuting (travel)"", ""energy assistance"", ""energy conservation"", ""energy consumption"", ""home ownership"", ""housing"", ""housing conditions"", ""housing costs"", ""housing occupancy"", ""housing units"", ""income"", ""metropolitan statistical areas"", ""municipal services"", ""neighborhood conditions"", ""property insurance"", ""property taxes"", ""property values"", ""relocation"", ""rental housing"", ""transportation"", ""utility rates"")","NA","NA","American Housing Survey, 1990: MSA Core and Supplement File","ICPSR Harvested Dataverse","2015-04-09T03:53:46Z","ICPSR Harvested Dataverse","file://10.3886/ICPSR06462.v1","","dataset","2015-04-09T03:53:46Z","https://doi.org/10.3886/ICPSR06462.v1","38194","RELEASED"
"9","United States Department of Commerce. Bureau of the Census","United States Department of Commerce. Bureau of the Census, 1993, ""American Housing Survey, 1990: MSA Core Questions File"", https://doi.org/10.3886/ICPSR06003.v1, Inter-university Consortium for Political and Social Research","United States Department of Commerce. Bureau of the Census, 1993, ""American Housing Survey, 1990: MSA Core Questions File"", <a href=""https://doi.org/10.3886/ICPSR06003.v1"" target=""_blank"">https://doi.org/10.3886/ICPSR06003.v1</a>, Inter-university Consortium for Political and Social Research","list(name = """", affiliation = """")","2015-04-09T03:50:11Z","This data collection provides information on characteristics of housing units in 11 selected Metropolitan Statistical Areas (MSAs) of the United States. Although the unit of analysis is the housing unit rather than its occupants, the survey also is a comprehensive source of information on the demographic characteristics of household residents. Data collected include general housing characteristics such as the year the structure was built, type and number of living quarters, occupancy status, presence of commercial establishments on the property, and property value. Data are also provided on kitchen and plumbing facilities, type of heating fuel used, source of water, sewage disposal, and heating and air-conditioning equipment. Questions about housing quality include condition of walls and floors, adequacy of heat in winter, availability of electrical outlets in rooms, basement and roof water leakage, and exterminator service for mice and rats. Data related to housing expenses include mortgage or rent payments, utility costs, fuel costs, property insurance costs, real estate taxes, and garbage collection fees. Variables are also supplied on neighborhood conditions such as quality of roads, presence of crime, trash, litter, street noise, abandoned structures, commercial activity, and odors or smoke, and the adequacy of services such as public transportation, schools, shopping facilities, police protection, recreation facilities, and hospitals or clinics. In addition to housing characteristics, data on age, sex, race, marital status, income, and relationship to householder are provided for each household member. Additional data are supplied for the householder, including years of school completed, Spanish origin, and length of residence.","11","doi:10.3886/ICPSR06003.v1","icpsr","c(""commuting (travel)"", ""energy assistance"", ""energy conservation"", ""energy consumption"", ""home ownership"", ""housing"", ""housing conditions"", ""housing costs"", ""housing occupancy"", ""housing units"", ""income"", ""metropolitan statistical areas"", ""municipal services"", ""neighborhood conditions"", ""property insurance"", ""property taxes"", ""property values"", ""relocation"", ""rental housing"", ""utility rates"")","NA","NA","American Housing Survey, 1990: MSA Core Questions File","ICPSR Harvested Dataverse","2015-04-09T03:50:11Z","ICPSR Harvested Dataverse","file://10.3886/ICPSR06003.v1","","dataset","2015-04-09T03:50:11Z","https://doi.org/10.3886/ICPSR06003.v1","37871","RELEASED"
"10","United States Department of Commerce. Bureau of the Census","United States Department of Commerce. Bureau of the Census, 2007, ""American Housing Survey, 1998: Metropolitan Microdata"", https://doi.org/10.3886/ICPSR03174.v1, Inter-university Consortium for Political and Social Research","United States Department of Commerce. Bureau of the Census, 2007, ""American Housing Survey, 1998: Metropolitan Microdata"", <a href=""https://doi.org/10.3886/ICPSR03174.v1"" target=""_blank"">https://doi.org/10.3886/ICPSR03174.v1</a>, Inter-university Consortium for Political and Social Research","list(name = """", affiliation = """")","2015-04-09T04:34:11Z","The metropolitan survey is conducted in even-numbered years, cycling through a set of 41 metropolitan areas, surveying each one about once every six years. This data collection provides information on the characteristics of a metropolitan sample of housing units including apartments, single-family homes, mobile homes, and vacant housing units. The data are presented in eight separate parts: Part 1, Housing Unit Record (Main Record), Part 2, Mortgages (Owners Only), Part 3, Manager and Owner Record (Renters Only), Part 4, Person Record, Part 5, Ratio Verification, Part 6, Mover Group Record, Part 7, Recodes (One Record per Housing Unit), and Part 8, Weights. Data include year the structure was built, type and number of living quarters, occupancy status, access, number of rooms, presence of commercial establishments on the property, and property value. Additional data focus on kitchen and plumbing facilities, types of heating fuel used, source of water, sewage disposal, heating and air-conditioning equipment, and major additions, alterations, or repairs to the property. Information provided on housing expenses includes monthly mortgage or rent payments, cost of services such as utilities, garbage collection, and property insurance, and amount of real estate taxes paid in the previous year. Also included is information on whether the household received government assistance to help pay heating or cooling costs or for other energy-related services. Similar data are provided for housing units previously occupied by respondents who had recently moved. Additionally, indicators of housing and neighborhood quality are supplied. Housing quality variables include privacy of bedrooms, condition of kitchen facilities, basement or roof leakage, breakdowns of plumbing facilities and equipment, and overall opinion of the structure. For quality of neighborhood, variables include use of exterminator services, existence of boarded-up buildings, and overall quality of the neighborhood. In addition to housing characteristics, some demographic data are provided on household members, such as age, sex, race, marital status, income, and relationship to householder. Additional data provided on the householder include years of school completed, Spanish origin, length of residence, and length of occupancy.","8","doi:10.3886/ICPSR03174.v1","icpsr","c(""commuting (travel)"", ""energy assistance"", ""energy conservation"", ""energy consumption"", ""home ownership"", ""housing"", ""housing conditions"", ""housing costs"", ""housing occupancy"", ""housing units"", ""income"", ""living arrangements"", ""Metropolitan Statistical Areas"", ""municipal services"", ""neighborhood conditions"", ""property insurance"", ""property taxes"", ""property values"", ""rental housing"", ""relocation"", ""transportation"", ""utility rates"")","NA","NA","American Housing Survey, 1998: Metropolitan Microdata","ICPSR Harvested Dataverse","2015-04-09T04:34:11Z","ICPSR Harvested Dataverse","file://10.3886/ICPSR03174.v1","","dataset","2015-04-09T04:34:11Z","https://doi.org/10.3886/ICPSR03174.v1","41878","RELEASED"
